repeat,task_id,task_name,strategy,n,total_samples,parse_success_count,parse_fail_count,valid_count,unique_valid_count,novel_unique_count,valid_rate,unique_rate,novel_rate
1,tree,Tree,zero_shot,15,100,100,0,100,22,22,1.0000,0.2200,1.0000
1,cycle,Cycle,zero_shot,15,100,99,1,99,1,1,0.9900,0.0101,1.0000
1,planar,Planar,zero_shot,15,100,99,1,66,50,50,0.6600,0.7576,1.0000
1,components,#Components,zero_shot,15,100,100,0,46,13,13,0.4600,0.2826,1.0000
1,k_regular,k-regular,zero_shot,16,100,100,0,86,47,47,0.8600,0.5465,1.0000
1,wheel,Wheel,zero_shot,15,100,92,8,85,1,1,0.8500,0.0118,1.0000
1,bipartite,Bipartite,zero_shot,10,100,99,1,99,3,3,0.9900,0.0303,1.0000
1,k_coloring,k-coloring,zero_shot,15,100,96,4,17,17,17,0.1700,1.0000,1.0000
