repeat,task_id,task_name,strategy,size,n,unique_method,total_samples,parse_success_count,parse_fail_count,valid_count,unique_valid_count,novel_unique_count,valid_rate,unique_rate,novel_rate
2,tree,Tree,zero_shot,medium,15,isomorphism,100,100,0,100,22,22,1.0000,0.2200,1.0000
2,cycle,Cycle,zero_shot,medium,15,isomorphism,100,100,0,100,1,1,1.0000,0.0100,1.0000
2,planar,Planar,zero_shot,medium,15,isomorphism,100,95,5,64,45,45,0.6400,0.7031,1.0000
2,components,#Components,zero_shot,medium,15,isomorphism,100,100,0,36,7,7,0.3600,0.1944,1.0000
2,k_regular,k-regular,zero_shot,medium,16,isomorphism,100,98,2,87,1,1,0.8700,0.0115,1.0000
2,wheel,Wheel,zero_shot,medium,15,isomorphism,100,92,8,80,1,1,0.8000,0.0125,1.0000
2,bipartite,Bipartite,zero_shot,medium,10,isomorphism,100,100,0,100,3,3,1.0000,0.0300,1.0000
2,k_coloring,k-coloring,zero_shot,medium,15,isomorphism,100,99,1,21,21,21,0.2100,1.0000,1.0000
