repeat,task_id,task_name,strategy,size,n,unique_method,total_samples,parse_success_count,parse_fail_count,valid_count,unique_valid_count,novel_unique_count,valid_rate,unique_rate,novel_rate
3,tree,Tree,few_shot_cot,medium,15,isomorphism,100,98,2,98,6,6,0.9800,0.0612,1.0000
3,cycle,Cycle,few_shot_cot,medium,15,isomorphism,100,97,3,97,1,1,0.9700,0.0103,1.0000
3,planar,Planar,few_shot_cot,medium,15,isomorphism,100,95,5,37,30,30,0.3700,0.8108,1.0000
3,components,#Components,few_shot_cot,medium,15,isomorphism,100,100,0,99,13,13,0.9900,0.1313,1.0000
3,k_regular,k-regular,few_shot_cot,medium,16,isomorphism,100,95,5,32,1,1,0.3200,0.0312,1.0000
3,wheel,Wheel,few_shot_cot,medium,15,isomorphism,100,99,1,99,1,1,0.9900,0.0101,1.0000
3,bipartite,Bipartite,few_shot_cot,medium,10,isomorphism,100,98,2,98,16,16,0.9800,0.1633,1.0000
3,k_coloring,k-coloring,few_shot_cot,medium,15,isomorphism,100,97,3,58,50,50,0.5800,0.8621,1.0000
