repeat,task_id,task_name,strategy,size,n,unique_method,total_samples,parse_success_count,parse_fail_count,valid_count,unique_valid_count,novel_unique_count,valid_rate,unique_rate,novel_rate
3,tree,Tree,few_shot,small,8,isomorphism,100,33,67,23,3,2,0.2300,0.1304,0.6667
3,cycle,Cycle,few_shot,small,10,isomorphism,100,100,0,100,1,1,1.0000,0.0100,1.0000
3,planar,Planar,few_shot,small,8,isomorphism,100,52,48,1,1,1,0.0100,1.0000,1.0000
3,components,#Components,few_shot,small,8,isomorphism,100,39,61,1,1,1,0.0100,1.0000,1.0000
3,k_regular,k-regular,few_shot,small,12,isomorphism,100,2,98,0,0,0,0.0000,0.0000,0.0000
3,wheel,Wheel,few_shot,small,8,isomorphism,100,100,0,0,0,0,0.0000,0.0000,0.0000
3,bipartite,Bipartite,few_shot,small,6,isomorphism,100,100,0,100,1,0,1.0000,0.0100,0.0000
3,k_coloring,k-coloring,few_shot,small,10,isomorphism,100,79,21,0,0,0,0.0000,0.0000,0.0000
